Date,City,Lon,Lat,Station,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2022-03-01,桃園市,121.047486,25.006744,467050,1,1014.3,1016.9,17.6,14.9,84,1.4,140,2.7,170,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,2,1013.9,1016.5,18.3,14.8,80,2.8,170,3.6,160,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,3,1013.6,1016.2,18.6,14.9,79,2.8,170,3.6,150,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,4,1013.9,1016.5,18.3,15.2,82,2.0,160,3.1,160,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,5,1014.4,1017.0,18.0,15.1,83,0.8,150,2.7,170,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,6,1015.2,1017.8,17.8,15.8,88,1.2,40,1.7,70,0.0,0.0,0.0,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,7,1016.0,1018.6,18.3,16.5,89,1.1,300,2.9,320,0.0,0.0,0.0,0.04,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,8,1016.3,1018.9,18.6,16.9,90,0.9,240,1.7,240,0.0,0.0,0.0,0.35,16.0,0,10.0
2022-03-01,桃園市,121.047486,25.006744,467050,9,1016.6,1019.1,21.2,16.4,74,2.3,210,3.6,210,0.0,0.0,0.1,0.91,16.0,2,9.0
2022-03-01,桃園市,121.047486,25.006744,467050,10,1016.3,1018.8,24.0,16.0,61,3.0,210,4.3,210,0.0,0.0,0.6,1.88,...,4,...
2022-03-01,桃園市,121.047486,25.006744,467050,11,1015.8,1018.3,25.1,17.1,61,3.1,230,5.3,220,0.0,0.0,1.0,2.68,16.0,8,2.0
2022-03-01,桃園市,121.047486,25.006744,467050,12,1015.2,1017.7,25.0,17.7,64,4.2,230,6.2,240,0.0,0.0,0.9,3.08,...,9,...
2022-03-01,桃園市,121.047486,25.006744,467050,13,1014.2,1016.7,24.2,17.2,65,5.0,230,7.3,240,0.0,0.0,0.9,3.03,...,10,...
2022-03-01,桃園市,121.047486,25.006744,467050,14,1013.3,1015.8,24.4,17.4,65,4.2,260,7.9,280,0.0,0.0,1.0,2.88,16.0,9,2.0
2022-03-01,桃園市,121.047486,25.006744,467050,15,1013.0,1015.5,24.0,17.7,68,3.1,230,6.0,260,0.0,0.0,1.0,2.38,...,6,...
2022-03-01,桃園市,121.047486,25.006744,467050,16,1012.7,1015.2,24.1,18.1,69,3.2,250,5.0,240,0.0,0.0,1.0,1.79,...,3,...
2022-03-01,桃園市,121.047486,25.006744,467050,17,1012.9,1015.4,23.7,18.4,72,1.7,240,4.5,260,0.0,0.0,0.6,0.76,16.0,1,7.0
2022-03-01,桃園市,121.047486,25.006744,467050,18,1012.9,1015.4,22.9,18.2,75,1.7,210,3.2,230,0.0,0.0,0.3,0.15,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,19,1013.5,1016.0,22.1,18.5,80,0.6,230,2.5,220,0.0,0.0,0.0,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,20,1014.3,1016.8,21.5,18.5,83,1.5,360,2.2,330,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,21,1015.0,1017.6,19.5,17.1,86,3.5,40,8.8,40,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,22,1015.4,1018.0,19.5,17.1,86,3.5,40,6.6,50,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,23,1015.3,1017.9,19.8,17.6,87,3.4,50,6.4,60,0.0,0.0,...,0.0,...,0,...
2022-03-01,桃園市,121.047486,25.006744,467050,24,1015.4,1018.0,20.0,17.6,86,2.8,50,5.4,50,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,1,1015.2,1017.8,18.9,17.6,92,1.9,20,4.6,20,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,2,1014.9,1017.5,19.4,18.1,92,0.8,40,3.1,30,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,3,1015.1,1017.7,18.8,18.0,95,2.9,30,5.0,10,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,4,1014.6,1017.2,19.2,17.9,92,4.5,50,7.2,50,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,5,1015.1,1017.7,18.9,17.7,93,4.4,40,7.6,40,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,6,1015.7,1018.3,18.4,17.4,94,4.0,40,7.9,40,0.0,0.0,0.0,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,7,1016.4,1019.0,18.9,17.2,90,4.2,50,6.9,50,0.0,0.0,0.0,0.07,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,8,1017.1,1019.7,19.5,17.3,87,5.0,40,9.0,40,0.0,0.0,0.0,0.2,8.0,0,10.0
2022-03-02,桃園市,121.047486,25.006744,467050,9,1017.7,1020.3,19.1,17.1,88,5.1,40,10.7,40,0.0,0.0,0.0,0.41,8.0,1,10.0
2022-03-02,桃園市,121.047486,25.006744,467050,10,1017.9,1020.5,20.0,15.7,76,8.2,40,13.8,30,0.0,0.0,0.0,0.81,...,2,...
2022-03-02,桃園市,121.047486,25.006744,467050,11,1017.7,1020.3,19.7,15.4,76,7.0,40,13.9,50,0.0,0.0,0.0,0.78,8.0,3,10.0
2022-03-02,桃園市,121.047486,25.006744,467050,12,1016.9,1019.5,20.1,15.1,73,8.7,50,14.5,40,0.0,0.0,0.0,1.24,...,4,...
2022-03-02,桃園市,121.047486,25.006744,467050,13,1016.0,1018.6,19.9,14.9,73,8.1,50,14.0,50,0.0,0.0,0.0,0.75,...,2,...
2022-03-02,桃園市,121.047486,25.006744,467050,14,1014.8,1017.3,20.8,15.4,71,8.5,50,13.7,50,0.0,0.0,0.0,1.59,8.0,4,10.0
2022-03-02,桃園市,121.047486,25.006744,467050,15,1014.2,1016.7,21.6,15.9,70,6.7,50,12.1,40,0.0,0.0,1.0,2.1,...,4,...
2022-03-02,桃園市,121.047486,25.006744,467050,16,1014.1,1016.6,20.5,15.7,74,8.1,50,13.9,50,0.0,0.0,1.0,1.44,...,2,...
2022-03-02,桃園市,121.047486,25.006744,467050,17,1014.7,1017.3,19.3,15.6,79,7.2,40,14.4,50,0.0,0.0,0.9,0.71,8.0,1,4.0
2022-03-02,桃園市,121.047486,25.006744,467050,18,1014.9,1017.5,18.6,15.7,83,7.4,50,13.4,50,0.0,0.0,0.0,0.14,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,19,1015.0,1017.6,18.6,15.3,81,7.1,50,13.6,50,0.0,0.0,0.0,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,20,1015.5,1018.1,18.5,15.8,84,7.8,50,12.1,60,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,21,1015.6,1018.2,17.7,16.2,91,8.0,50,14.0,70,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,22,1015.5,1018.1,17.9,15.9,88,8.2,50,13.9,50,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,23,1015.2,1017.8,18.2,15.1,82,8.1,50,14.5,50,0.0,0.0,...,0.0,...,0,...
2022-03-02,桃園市,121.047486,25.006744,467050,24,1014.8,1017.4,18.1,15.0,82,7.6,50,13.6,60,0.0,0.0,...,0.0,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,1,1014.4,1017.0,18.1,15.0,82,7.3,50,14.5,50,0.0,0.0,...,0.0,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,2,1014.4,1017.0,18.0,14.7,81,6.2,60,12.2,70,0.0,0.0,...,0.0,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,3,1014.4,1017.0,18.1,14.6,80,5.6,60,11.3,60,0.0,0.0,...,0.0,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,4,1014.4,1017.0,18.1,15.0,82,5.4,50,9.3,40,0.0,0.0,...,0.0,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,5,1015.1,1017.7,17.9,15.2,84,4.1,40,7.9,40,0.0,0.0,...,0.0,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,6,1016.2,1018.8,18.0,15.4,85,5.3,40,8.6,30,0.0,0.0,0.0,0.0,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,7,1016.7,1019.3,18.3,15.9,86,4.2,50,9.0,50,0.0,0.0,0.0,0.05,...,0,...
2022-03-03,桃園市,121.047486,25.006744,467050,8,1016.7,1019.3,19.1,16.0,82,2.6,70,7.1,70,0.0,0.0,0.0,0.34,10.0,0,8.0
2022-03-03,桃園市,121.047486,25.006744,467050,9,1016.7,1019.2,20.7,16.3,76,3.4,60,6.1,60,0.0,0.0,0.3,0.92,10.0,1,6.0
